[BENCH],Algo,Test,AlgInter,Time (ms),Time (ns),Dt (ns),Max (ns),Min (ns),Time iterations,Average Time Iter
[BENCH],AVL,Insert,10,0,6045,1112,12492,5624,Tested on 10000 iterations,"60,45"
[BENCH],AVL,Insert,100,0,6853,398,11110,6462,Tested on 1000 iterations,"68,53"
[BENCH],AVL,Insert,1000,0,9243,98,9674,8983,Tested on 100 iterations,"92,43"
[BENCH],AVL,Insert,10000,0,14115,148,17141,13681,Tested on 100 iterations,"141,15"
[BENCH],AVL,Insert,50000,0,19219,173,22304,18620,Tested on 100 iterations,"192,19"
[BENCH],AVL,Insert,100000,0,22944,288,42379,21746,Tested on 100 iterations,"229,44"
[BENCH],AVL,Find,10,0,989,649,3893,817,Tested on 10000 iterations,"9,89"
[BENCH],AVL,Find,100,0,2141,280,4892,1893,Tested on 1000 iterations,"21,41"
[BENCH],AVL,Find,1000,0,3636,101,4520,3362,Tested on 100 iterations,"36,36"
[BENCH],AVL,Find,10000,0,6566,140,9175,5963,Tested on 100 iterations,"65,66"
[BENCH],AVL,Find,50000,0,9964,143,13229,9329,Tested on 100 iterations,"99,64"
[BENCH],AVL,Find,100000,0,11871,151,12991,11126,Tested on 100 iterations,"118,71"
[BENCH],AVL,Remove,10,0,578,872,3770,355,Tested on 10000 iterations,"5,78"
[BENCH],AVL,Remove,100,0,5162,376,10149,4652,Tested on 1000 iterations,"51,62"
[BENCH],AVL,Remove,1000,0,8391,115,9139,8073,Tested on 100 iterations,"83,91"
[BENCH],AVL,Remove,10000,0,13610,131,14214,13158,Tested on 100 iterations,"136,1"
[BENCH],AVL,Remove,50000,0,19001,148,20303,18409,Tested on 100 iterations,"190,01"
[BENCH],AVL,Remove,100000,0,22724,261,39100,21350,Tested on 100 iterations,"227,24"
[BENCH],Map,Insert,10,0,5445,1005,10130,5015,Tested on 10000 iterations,"54,45"
[BENCH],Map,Insert,100,0,6096,357,9244,5705,Tested on 1000 iterations,"60,96"
[BENCH],Map,Insert,1000,0,8199,115,9115,7869,Tested on 100 iterations,"81,99"
[BENCH],Map,Insert,10000,0,12639,133,13263,12126,Tested on 100 iterations,"126,39"
[BENCH],Map,Insert,50000,0,16576,153,18483,15668,Tested on 100 iterations,"165,76"
[BENCH],Map,Insert,100000,0,19015,188,22445,18023,Tested on 100 iterations,"190,15"
[BENCH],Map,Find,10,0,1255,723,7445,1045,Tested on 10000 iterations,"12,55"
[BENCH],Map,Find,100,0,2520,307,5344,2182,Tested on 1000 iterations,"25,2"
[BENCH],Map,Find,1000,0,4077,82,4438,3841,Tested on 100 iterations,"40,77"
[BENCH],Map,Find,10000,0,7405,94,7725,7073,Tested on 100 iterations,"74,05"
[BENCH],Map,Find,50000,0,11348,164,17124,10892,Tested on 100 iterations,"113,48"
[BENCH],Map,Find,100000,0,13416,193,21878,12582,Tested on 100 iterations,"134,16"
[BENCH],Map,Remove,10,0,644,737,5143,462,Tested on 10000 iterations,"6,44"
[BENCH],Map,Remove,100,0,4665,381,6155,4129,Tested on 1000 iterations,"46,65"
[BENCH],Map,Remove,1000,0,7572,128,8009,7079,Tested on 100 iterations,"75,72"
[BENCH],Map,Remove,10000,0,12277,147,14082,11526,Tested on 100 iterations,"122,77"
[BENCH],Map,Remove,50000,0,16755,210,23648,15704,Tested on 100 iterations,"167,55"
[BENCH],Map,Remove,100000,0,19151,202,23714,18176,Tested on 100 iterations,"191,51"
[BENCH],Treap,Insert,10,0,7199,1992,12452,6075,Tested on 10000 iterations,"71,99"
[BENCH],Treap,Insert,100,0,7965,675,14707,6482,Tested on 1000 iterations,"79,65"
[BENCH],Treap,Insert,1000,0,10061,207,12194,9230,Tested on 100 iterations,"100,61"
